a,(an) 一
a few,幾個;為數不多的;有一些(後面接可數名詞)
a little,"少量的(地),稍許的(地)(後面接不可數名詞)"
a lot,"【口】大量的,許多的"
able,"能,可,會[F][+to-v]"
about,"關於,對於"
above,在…上面
afraid,"害怕的,怕的[(+of)][+to-v][+(that)]"
after,在…以後
afternoon,"下午,午後[C][U]"
again,"再,再一次"
age,年齡[C][U]
ago,在…以前
agree,意見一致、同意[(+with/about/on)][W]
air,空氣;大氣[U]
airplane,(plane)【美】飛機[C]
airport,機場;航空站[C]
all,"一切的,所有的"
almost,"幾乎,差不多"
along,沿著;順著
already,已經;先前
also,"也,亦;還"
always,"總是,經常"
a.m.,Err:509
America,美國
American,美國的;美洲的
and,"和,及,與,同;又"
angry,"發怒的,生氣的[(+at/with/about)]"
animal,動物
another,"又一,再一"
answer,回答;答覆;覆信
any,"任一,每一"
anyone,"(anybody)(用於疑問句或if子句時)誰,任何人"
anything,"(用於疑問句或if子句時)什麼東西,什麼事情"
apartment,【美】(一戶)公寓房間
appear,出現;顯露
apple,蘋果[C]
April,四月
arm,臂
around,"到處,四處"
arrive,到達;到來
art,藝術;美術[U]
as,"跟…一樣地,同樣地"
ask,問;詢問[+wh-][O6][O1]
at,在…地點
August,八月
aunt,伯母;嬸母;姑母;姨母;舅母
autumn,"(fall)秋季,秋天[C][U]"
away,離開[(+from)]
baby,嬰兒
back,"背脊,背部[C]"
bad,"壞的,不好的;拙劣的;令人不悅的"
bag,袋;提袋[C]
bakery,麵包(糕點)烘房;麵包(糕點)店[C]
ball,球;球狀體
banana,香蕉
band,"帶,細繩;箍"
bank,銀行
baseball,棒球運動[U]
basket,"籃,簍,筐"
basketball,籃球運動[U]
bath,"浴缸,澡盆"
bathroom,浴室
be,"(am, are, is, was, were, been)(與動詞的現在分詞連用,構成各種進行時態)正在…,在…"
beach,海灘;海濱度假地
bear,"n. 熊;似熊的動物; vt. 支持,承受;承擔"
beautiful,"美麗的,漂亮的"
because,因為
become,"變成,成為;變得,開始變得[L]"
bed,床;睡眠處[C][U]
bedroom,"臥室,寢室[C]"
bee,"蜜蜂,蜂"
beef,牛肉[U]
before,在…以前
begin,"開始,著手;動手[+v-ing][+to-v]"
behind,在…的背後;在…的後面;向…的背後
believe,相信;信任[+(that)]
bell,鐘;鈴;門鈴
belong,應被放置(在某處)[Q]
below,在下面;到下面;在下方;在樓下;在甲板下
belt,腰帶;帶;帶狀物
beside,在…近旁;在旁邊
between,"(指時間,空間,順序等)在…之間"
bicycle,"(bike)腳踏車,自行車[C]"
big,"(在面積,體積,數量,程度等方面)大的,巨大的"
bird,鳥;禽
birthday,生日
bite,咬;啃
black,黑色的;漆黑的;黑暗的
blackboard,黑板[C]
blind,"瞎的,盲的[Z][R]"
block,塊[(+of)];積木[P]
blow,"吹,刮"
blue,藍色的;天藍色的;青色的
boat,小船
body,"(人,動物的)身體;肉體[C]"
book,"書,書本,書籍;著作;報章雜誌"
bookstore,書店
bored,麵包
boring,鑽孔用的
born,"出生的,誕生的;產生的[F]"
borrow,"借,借入[(+from)]"
boss,老板;上司;主人
both,"兩…(都),兩個…(都)"
bottle,瓶子[C]
bottom,底;底部;下端[C]
bowl,碗
box,箱;盒;匣
boy,"少年,男孩"
bread,麵包
break,打破;折斷;使碎裂
breakfast,"早餐,早飯[C][U]"
bridge,"橋,橋樑"
bright,明亮的;發亮的;晴朗的
bring,"帶來,拿來[O1]"
brother,"兄弟;兄,弟"
brown,"褐色的,棕色的"
brush,"(常構成複合詞)刷,刷子"
build,建築;造[O1]
burn,發熱;發光
bus,巴士;公車 [C]
business,職業;日常工作
businessman,商人;實業家[C]
busy,"忙碌的,繁忙的[(+with/at/over)][(+in)][+v-ing]"
but,但是
butter,奶油;黃油
buy,"買,購買[O1][O8]"
by,"被,由"
cake,"蛋糕,糕餅[U][C]"
call,"(大聲)叫喊,呼叫[(+out)]"
camera,照相機;電影攝影機;電視攝像機
camp,野營;營地;兵營;帳篷[C][U]
can,"(could)(表示能力,功能)能,會"
candy,【美】糖果[C][U]
cap,"無邊便帽;制服帽;(表示職業,等級等的)帽子"
car,汽車
card,紙牌[C]
care,看護;保護[U]
careful,仔細的;小心的[(+of/about/with)][+to-v][+v-ing][+Wh-][+(that)]
carry,"(用手、肩等)挑,抱,背,提,扛,搬"
case,"事實,實情[C]"
cat,貓
catch,"接住,抓住"
celebrate,慶祝
cell phone,"等於 cellular phone 或 mobile phone, 行動電話, 手機"
cent,"(美、加等國的貨幣單位,為dollar的1%)分"
center,"中心;中央,中心點"
chair,(通常指單人用的)椅子[C]
chalk,粉筆[C][U]
chance,偶然;運氣;僥倖;意外[U]
change,(使)改變;更改;使變化[(+from…to…)][(+into)]
cheap,"便宜的,價廉的"
cheat,"欺騙;騙取,詐取[(+of/out of)]"
check,"檢查,檢驗,核對[C][(+of/on)]"
cheer,"歡呼,喝采[C]"
cheese,"乳酪,乾酪"
chicken,(小)雞;小鳥[C]
child,"小孩,兒童,幼兒"
China,中國
Chinese,中國的
chocolate,巧克力[U]
chopsticks,筷子
Christmas,"聖誕節,耶誕節[U]"
church,"教堂,禮拜堂[C]"
circle,圓;圓圈
city,"城市,都市,市[C]"
class,(社會的)階級;社會等級[C][G]
classmate,同班同學[C]
classroom,教室[C]
clean,清潔的;未污染的;洗過的;愛乾淨的
clear,"清澈的,透明的;(皮膚)潔淨的"
climb,"爬,攀登;登上"
clock,時鐘[C]
close,關閉;蓋上;合上
clothes,衣服;服裝
cloudy,"多雲的,陰天的"
club,"(運動,娛樂等的)俱樂部;會;社[G]"
coat,"外套,大衣;(西裝的)上衣"
coffee,咖啡[U]
Coke,可口可樂(=Coca-Cola)
cold,"冷的,寒冷的"
collect,"收集,採集;使集合"
color,"色,色彩;顏色;彩色[C][U]"
come,來;來到
comfortable,"使人舒服的,舒適的"
comic,喜劇的;喜劇般的[Z]
common,普通的;常見的
