娛樂稅稅源,申報家(件)數,查定家(件)數,申報營業總額,查定營業總額,本月份申報報繳稅額,本月份查定報繳稅額,申報報繳稅額累計數,查定報繳稅額累計數,本月份申報實徵稅額,本月份查定實徵稅額,申報實徵稅額累計數,查定實徵稅額累計數,,,,,
合　　計,464,,"49,777,419",,"1,653,000",,"5,085,526",,"1,790,116",,"4,894,756",,,,,,
自動申報-總計,36,,"32,499,364",,"752,216",,"2,388,772",,"736,215",,"2,359,070",,,,,,
查定課徵-總計,428,,"17,278,055",,"900,784",,"2,688,325",,"1,053,901",,"2,529,435",,,,,,
臨時公演-總計,,,,,,,"8,429",,,,"6,251",,,,,,
違章補徵稅款-總計,,,,,,,,,,,,,,,,,
電影0-小　　　計, 2 , - ," 5,461,537 ", - ," 21,229 ", - ," 83,795 ", - ," 21,229 ", - ," 83,666 ", - ,,,,,
電影0-本國片繁榮地區A, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-本國片偏僻地區B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-本國片郊區C, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片繁榮地區D, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片偏僻地區E, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片郊區F, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-國洋片混片G, 2 , - ," 5,461,537 ", - ," 21,229 ", - ," 83,795 ", - ," 21,229 ", - ," 83,666 ", - ,,,,,
電影0-其他H, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 歌廳1, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 撞球場2　, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 保齡球館3, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
高爾夫球場4-小　計, 1 , - ," 4,210,810 ", - ," 191,400 ", - ," 443,996 ", - ," 191,400 ", - ," 443,996 ", - ,,,,,
高爾夫球場4-球　場A, 1 , - ," 4,210,810 ", - ," 191,400 ", - ," 443,996 ", - ," 191,400 ", - ," 443,996 ", - ,,,,,
高爾夫球場4-練習場B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-小　計, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-舞　廳A, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-舞　場B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電子遊戲機6-小　　　計, - , 28 , - ," 1,881,080 ", - ," 124,649 ", - ," 373,947 ", - ," 129,299 ", - ," 359,505 ",,,,,
